Attributed Touch Type,Attributed Touch Time,Install Time,Event Time,Event Name,Event Value,Event Revenue,Event Revenue Currency,Event Revenue INR,Cost Model,Cost Value,Cost Currency,Event Source,Partner,Media Source,Channel,Campaign,Campaign ID,Adset,Adset ID,Ad,Ad ID,Ad Type,Site ID,Region,Country Code,State,City,Postal Code,DMA,IP,Operator,Carrier,Language,AppsFlyer ID,Customer User ID,Android ID,Advertising ID,IMEI,IDFA,IDFV,Device Category,Platform,OS Version,App Version,SDK Version,App ID,App Name,Is Retargeting,Retargeting Conversion Type,Is Primary Attribution,Attribution Lookback,Reengagement Window,Match Type,User Agent,HTTP Referrer,Original URL,Device Model,Rejected Reason,Rejected Reason Value,Detection Date,Fraud Reason,Fraud Sub Reason
click,2025-07-22 00:35:12,2025-07-23 02:28:10,2025-07-23 20:42:38,sse_goa_Any_FX_CardOrdered,"""""",,USD,,,0.0,,S2S,steptosalein614,meetads_int,451,CLICK_ORBITS_2311_PS,,,,,,,9j1585978,AS,IN,AS,Bangalore,560053,356004,,,,,1753217889084-1709456253207802629,,,52a2469b98a74cc5,,,,unknown_device_category,android,,,,finance.global.travel.niyo,,false,,true,7d,,id_matching,,N/A,https://goniyo.onelink.me/zKhp?pid=meetads_int&af_siteid=9j1585978&c=CLICK_ORBITS_2311_PS&af_channel=451&is_retargeting=true&af_reengagement_window=30d&af_click_lookback=7d&clickid=000218__10128907__20250722030512320669299797657774____6539386438303230643966643439346461393961316263366161623533316235253032656d70747925303225303225303261665f6170705f6f70656e65642530322530322530322530322530322530323137353331323339323830303025303230__9j1585978__v338628517114f4959dc8b5b40fbb5de1665e70730c6&advertising_id=17061ff2-8924-4cd5-8c85-c2a6e1e4b01b&idfa=17061ff2-8924-4cd5-8c85-c2a6e1e4b01b&af_prt=steptosalein614&af_os_version=&af_model=sm-g780f&gaid=17061ff2-8924-4cd5-8c85-c2a6e1e4b01b&android_id=17061ff2-8924-4cd5-8c85-c2a6e1e4b01b&redirect=false&af_ua=Mozilla%2F5.0%20%28Linux%3B%20Android%2014%3B%20SM-A137F%20Build%2FUP1A.231005.007%3B%20wv%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Version%2F4.0%20Chrome%2F127.0.6533.64%20Mobile%20Safari%2F537.36&af_ip=&af_lang=,,,,2025-07-24 11:20:00,bots,behavioral_anomalies
click,2025-07-22 19:50:53,2025-07-23 16:52:48,2025-07-23 17:02:10,sse_goa_Any_FX_CardOrdered,"""""",,USD,,,0.0,,S2S,steptosalein614,irelandlsg_int,266,CLICK_ORBITS_553_MJ,,,,,,,07519194,AS,IN,AS,Gurgaon,122016,356001,,,,,1753269765658-3576469379400454201,,,d092964588d63e24,,,,unknown_device_category,android,,,,finance.global.travel.niyo,,false,,true,7d,,id_matching,,N/A,https://app.appsflyer.com/finance.global.travel.niyo?pid=irelandlsg_int&af_siteid=07519194&c=CLICK_ORBITS_553_MJ&af_click_lookback=7d&clickid=000218__10133489__20250722222053814669370804078067____6335393066393033623864643435646339396162656466366338383662363031253032656d70747925303225303225303261665f6170705f6f70656e65642530322530322530322530322530322530323137353331393332313630303025303230__07519194__v3712743353507986f8c3c714ceca877cac12704565e&advertising_id=9719d320-9813-4c4e-9463-e94ad5d09f37&idfa=9719d320-9813-4c4e-9463-e94ad5d09f37&af_prt=steptosalein614&af_channel=266&af_os_version=&af_model=&gaid=9719d320-9813-4c4e-9463-e94ad5d09f37&android_id=9719d320-9813-4c4e-9463-e94ad5d09f37&redirect=false&af_ua=Mozilla%2F5.0%20%28Linux%3B%20Android%2015%3B%202410DPN6CC%20Build%2FAQ3A.240812.002%3B%20wv%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Version%2F4.0%20Chrome%2F134.0.6998.135%20Mobile%20Safari%2F537.36&af_ip=&expires=1753194113&signature_v2=Bg0rEOu3uXlP9a6GgP2p_v0TyVowN4lkQ97VKgeiNPg,,,organic,2025-07-24 11:20:01,click_flood,click_flood
click,2025-07-22 19:39:19,2025-07-23 14:37:21,2025-07-23 14:56:24,sse_goa_Any_FX_CardOrdered,"""""",,USD,,,0.0,,S2S,steptosalein614,irelandlsg_int,266,CLICK_ORBITS_553_MJ,,,,,,,nk1m6pk,AS,IN,AS,Bangalore,560034,356004,,,,,1753261636338-2930065990699859854,,,ef8e063a80ac531c,,,,unknown_device_category,android,,,,finance.global.travel.niyo,,false,,true,7d,,id_matching,,N/A,https://app.appsflyer.com/finance.global.travel.niyo?pid=irelandlsg_int&af_siteid=nk1m6pk&c=CLICK_ORBITS_553_MJ&af_click_lookback=7d&clickid=000218__10133489__20250722220919643669370093142638____34393961666139653363333034343831616235336634636231623339303265312530326c65686c61687374797275685f696e742530326d6f746f2b6736342b35472530326d6f746f726f6c6125303261665f6170705f6f70656e656425303231352530324b4125303242616e67616c6f72652530324a494f2b344725303276362e31322e362530323137353331393237303430303025303230__nk1m6pk__v37127433535824a2926235c46138b3d46afc5ab41e9&advertising_id=bea73048-f8e2-484c-b6bc-4a319238ca68&idfa=bea73048-f8e2-484c-b6bc-4a319238ca68&af_prt=steptosalein614&af_channel=266&af_os_version=&af_model=&gaid=bea73048-f8e2-484c-b6bc-4a319238ca68&android_id=bea73048-f8e2-484c-b6bc-4a319238ca68&redirect=false&af_ua=Dalvik%2F2.1.0%2B%28Linux%3B%2BU%3B%2BAndroid%2B15%3B%2Bmoto%2Bg64%2B5G%2BBuild%2FV1TDS35H.83-20-5-3%29&af_ip=14.139.157.21&expires=1753193419&signature_v2=DnbCXHeosH6zgDh5QzVuKjs374bMEUHJJjdNMUgfUcI,,,organic,2025-07-24 11:20:01,click_flood,click_flood
click,2025-07-17 11:01:44,2025-07-23 12:52:43,2025-07-23 13:09:41,sse_goa_Any_FX_CardOrdered,"""""",,USD,,,0.0,,S2S,steptosalein614,mobcpi6q_int,,ClickOrbits,1107170,,AkReD1h9Ryt5XgIqVwBdLBU2KlpRQVgBWSkSY39aV0NXCRUDOSsmHl8ZV3un8iJwWHk,,,,984fbab1b4690ce471d691,AS,IN,AS,Chakpanchuria,700059,356003,,,,,1753255357498-8345905659224134556,,,28219e85a8642247,,,,unknown_device_category,android,,,,finance.global.travel.niyo,,false,,true,7d,,id_matching,,N/A,https://app.appsflyer.com/finance.global.travel.niyo?pid=mobcpi6q_int&af_siteid=984fbab1b4690ce471d691&c=ClickOrbits&af_c_id=1107170&af_adset_id=AkReD1h9Ryt5XgIqVwBdLBU2KlpRQVgBWSkSY39aV0NXCRUDOSsmHl8ZV3un8iJwWHk&af_click_lookback=7d&clickid=W25-QWAKCQRjBAhiLEskWl8FDQ1VYi8bOQlbVmYCVGYqHGxcW1BkDVwqeEhoXFsDYhAIJT0cKgUIXSBQSTQlGCsfBRAxWwB4PQstDglVPlgIJG1IYFpaAWcNWWR5T2BZWgFnAlVnbTAWT14QYwBJZHtKdllZA3wFXm5nSGtaTgFlAQhkLRthDwwFNgAPMHkbblkMBzQGX28rGm8JXlEwEAA3Jww5BxZ9HEgdJCYdJFlYB3wGXmFnSGtTRAVhBQ==VmVIyXkj4R4&advertising_id=a128fc27-f0af-4619-a79f-5f4326a7f7ff&android_id=&idfa=&af_prt=steptosalein614&is_retargeting=true&af_reengagement_window=30d&af_ip=223.237.138.131&af_lang=en-IN&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+14%3B+CPH2381+Build%2FUKQ1.230924.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F137.0.7151.115+Mobile+Safari%2F537.36&expires=1753335104&signature_v2=evP-TYSYv7ONhSjTDbHdfc9cW_RIeMPjK_Ylirn987A&redirect=false&af_os_version=14&af_model=CPH2381,,,organic,2025-07-24 11:20:01,click_flood,click_flood
click,2025-07-18 12:47:24,2025-07-23 12:38:10,2025-07-23 12:52:48,sse_goa_Any_FX_CardOrdered,"""""",,USD,,,0.0,,S2S,steptosalein614,mobcpi94_int,,ClickOrbits,1107176,,XQdzXmR0fxpkAV1pIlphcSpTNAIPASVRY3Z9UW1WXwYhCikKBxo7QQBaVl6CiUCIfU4,,,,a342c5a6c7f865478b30bc,AS,IN,AS,Mumbai,400080,356002,,,,,1753254488224-8234777143912126832,,,26070f0cd407ae21,,,,unknown_device_category,android,,,,finance.global.travel.niyo,,false,,true,7d,,id_matching,,N/A,https://app.appsflyer.com/finance.global.travel.niyo?pid=mobcpi94_int&af_siteid=a342c5a6c7f865478b30bc&c=ClickOrbits&af_c_id=1107176&af_adset_id=XQdzXmR0fxpkAV1pIlphcSpTNAIPASVRY3Z9UW1WXwYhCikKBxo7QQBaVl6CiUCIfU4&af_click_lookback=7d&clickid=R3RZel5nAH5TYRR4C3tEYwV7PTBCeFwgDTMGKVU3SXpbdw9qUnlSMxIwX3IIZQF9VHUUPxomSjxSIxA1VT8DIkomSSsGIlUvAS4WJkI_BzIQIAImSnYBclNhRHlXdwpiBnJQYUR5WHsJdnkERmRVfVtnCWIDZFBiQ2Jcdwl8AnlXdRAtCHVbYAYrVmJGfVogAGtRcltoQilYcFkwCS8BYxN9Si5ZPEUrDi04AhIzSj1UNlNhQmJccAp8An5Tf0N_Ww==VqLnC8R0JbQ&advertising_id=77454113-7403-4c9b-a3c0-9152dbc32a16&android_id=&idfa=&af_prt=steptosalein614&is_retargeting=true&af_reengagement_window=30d&af_ip=103.232.241.235&af_lang=en-IN&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+15%3B+AIN065+Build%2FAQ3A.240929.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F137.0.7151.117+Mobile+Safari%2F537.36&expires=1753427844&signature_v2=6cV3hGuN9XcYqq_2--9px57u_lIaCjQzEFvb_QO8dmw&redirect=false&af_os_version=15&af_model=AIN065,,,organic,2025-07-24 11:20:00,click_flood,click_flood
click,2025-07-22 18:15:28,2025-07-23 11:20:46,2025-07-23 11:30:32,sse_goa_Any_FX_CardOrdered,"""""",,USD,,,0.0,,S2S,steptosalein614,irelandlsg_int,266,CLICK_ORBITS_553_MJ,,,,,,,ks4hbs5,AS,IN,AS,Bangalore,560111,356004,,,,,1753249843437-4380581877802656759,,,95bf768638da78e0,,,,unknown_device_category,android,,,,finance.global.travel.niyo,,false,,true,7d,,id_matching,,N/A,https://app.appsflyer.com/finance.global.travel.niyo?pid=irelandlsg_int&af_siteid=ks4hbs5&c=CLICK_ORBITS_553_MJ&af_click_lookback=7d&clickid=000218__10133489__20250722204528870669364941490513____6165356534306631333762363435613562383164376139623261616635373330253032656d7074792530324d323130314b3741492530325265646d6925303261665f6170705f6f70656e656425303231322530324b4125303242616e67616c6f72652530324a494f2b344725303276362e31342e302530323137353331383732333330303025303230__ks4hbs5__v37127433535686cbdef3c99499c853ba8559eea2f25&advertising_id=e4bdedb7-53f7-4f94-a15d-570ffd60767e&idfa=e4bdedb7-53f7-4f94-a15d-570ffd60767e&af_prt=steptosalein614&af_channel=266&af_os_version=&af_model=&gaid=e4bdedb7-53f7-4f94-a15d-570ffd60767e&android_id=e4bdedb7-53f7-4f94-a15d-570ffd60767e&redirect=false&af_ua=Dalvik%2F2.1.0%2B%28Linux%3B%2BU%3B%2BAndroid%2B12%3B%2BM2101K7AI%2BBuild%2FSKQ1.210908.001%29&af_ip=106.51.218.25&expires=1753188388&signature_v2=4l1awz06nN2Ga209VANl9VbX2ixulkRpwhGjsyHmCpw,,,organic,2025-07-24 11:20:01,click_flood,click_flood
click,2025-07-22 09:59:19,2025-07-22 17:21:52,2025-07-22 17:50:41,sse_goa_Any_FX_CardOrdered,"""""",,USD,,,0.0,,S2S,steptosalein614,meetads_int,451,CLICK_ORBITS_2311_PS,,,,,,,vd4r0z0tv,AS,IN,AS,Chimanpura,303712,None,,,,,1753185109974-5751345965348431067,,,1ec8ca3fb312f2ba,,,,unknown_device_category,android,,,,finance.global.travel.niyo,,false,,true,7d,,id_matching,,N/A,https://goniyo.onelink.me/zKhp?pid=meetads_int&af_siteid=vd4r0z0tv&c=CLICK_ORBITS_2311_PS&af_channel=451&is_retargeting=true&af_reengagement_window=30d&af_click_lookback=7d&clickid=000218__10128907__20250722122919192669334457287111____6637313233663561323333623461376462373865656532663833393139623938253032656d70747925303273616d73756e67253341253341534d2d533933384225303273616d73756e6725303261665f6170705f6f70656e656425303231352530322530324368696d616e707572612530324a494f2b344725303276362e31342e302530323137353331353835353430303025303230__vd4r0z0tv__v33862851711ea12f24a795d45be9cadd82d14a24bb6&advertising_id=c22215f1-77d0-4302-8a78-965dc3b89753&idfa=c22215f1-77d0-4302-8a78-965dc3b89753&af_prt=steptosalein614&af_os_version=&af_model=samsung%3A%3ASM-S938B&gaid=c22215f1-77d0-4302-8a78-965dc3b89753&android_id=c22215f1-77d0-4302-8a78-965dc3b89753&redirect=false&af_ua=Dalvik%2F2.1.0%2B%28Linux%3B%2BU%3B%2BAndroid%2B15%3B%2BSM-S938B%2BBuild%2FAP3A.240905.015.A2%29&af_ip=157.48.210.117&af_lang=,,,,2025-07-24 11:20:01,bots,behavioral_anomalies
click,2025-07-17 12:47:05,2025-07-22 16:00:48,2025-07-22 17:23:54,sse_goa_Any_FX_CardOrdered,"""""",,USD,,,0.0,,S2S,steptosalein614,mobcpi94_int,,ClickOrbits,1107176,,BVJicn9uThhbegU8M3Z6axtRC3lXVDR9eGxMU1ItB1MwJjIQNhgEOlgPV4cRENYxdjO,,,,a342c5a6c7f865478b30bc,AS,IN,AS,Pabbapuram,516003,None,,,,,1753180242568-8435635742613961670,,,fe9a21896d0d6679,,,,unknown_device_category,android,,,,finance.global.travel.niyo,,false,,true,7d,,id_matching,,N/A,https://app.appsflyer.com/finance.global.travel.niyo?pid=mobcpi94_int&af_siteid=a342c5a6c7f865478b30bc&c=ClickOrbits&af_c_id=1107176&af_adset_id=BVJicn9uThhbegU8M3Z6axtRC3lXVDR9eGxMU1ItB1MwJjIQNhgEOlgPV4cRENYxdjO&af_click_lookback=7d&clickid=V3cHVwdHBgRYXwR7VVcaRQQENg5SewIMUxUHVl4JWXkFW1FMUwZZDQIzAV5WQwACX0sEPEQKFBpTXBsLRSBAChQVFVYGAk8gQAoUFR9YCBdPIFUCQkUJBFlaVHYEXVZCCQdZWlR5CF5CPX8RXUtQfBReU0MfBlxBUH8AQVdHCBFaX1l6UwsFEVNUWVhVf1NZBEYDDApWU3oDVgdGVVdcWUUiUQETFV1JICEdP0IAAggAAF5BUnoeXlZEHwRaVg==VaO0oft15io&advertising_id=85ecd2a8-5a65-4964-bc52-baa8c56f452c&android_id=&idfa=&af_prt=steptosalein614&is_retargeting=true&af_reengagement_window=30d&af_ip=157.35.100.139&af_lang=en-IN&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+13%3B+SM-A127F+Build%2FTP1A.220624.014%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F138.0.7204.63+Mobile+Safari%2F537.36&expires=1753341425&signature_v2=FjP1F8m6_vufbJrad3WdtOSAECJhfdHbeBy8KdhtcCg&redirect=false&af_os_version=13&af_model=sm-a127f,,,organic,2025-07-24 11:20:00,click_flood,click_flood
click,2025-07-19 21:54:17,2025-07-21 12:28:42,2025-07-22 14:25:20,sse_goa_Any_FX_CardOrdered,"""""",,USD,,,0.0,,S2S,steptosalein614,mobcpi94_int,,ClickOrbits,1107176,,XGF-RVt8Wyp9BlwPL0FeeQ5jLQUOZyhKXH5ZYXRRXmAsERYCIyp9Bl9-e0pEelpuYgtaVmPNrjKmVL3,,,,a342c5a6c7f865478b30bc,AS,IN,AS,Atghara,700152,356003,,,,,1753081118505-6678721310731774956,,,d992d79f0d3dcec6,,,,unknown_device_category,android,,,,finance.global.travel.niyo,,false,,true,7d,,id_matching,,N/A,https://app.appsflyer.com/finance.global.travel.niyo?pid=mobcpi94_int&af_siteid=a342c5a6c7f865478b30bc&c=ClickOrbits&af_c_id=1107176&af_adset_id=XGF-RVt8Wyp9BlwPL0FeeQ5jLQUOZyhKXH5ZYXRRXmAsERYCIyp9Bl9-e0pEelpuYgtaVmPNrjKmVL3&af_click_lookback=7d&clickid=XA8DMjlnFXp1AA8DUWgmYEJ6G1FZAwYzbzBBKHNWUgEBZG1pFXh0UglLBWFqZkZ8chQPREA1KD8VIjZUTlBbJDIwGiogQ05UWz10NQIpK0hEU0Y5LDRTenwBWgIBaW5jR318AloCAWZiYFMCChRfEwVjfmBCeWoFUhkFZ2J_T3xgVVoDADY7aEcvJgFYAw1paGkVKXYFCVQMY281RSl1Al4TWTE0JBYnOHkkS0QiNTULenECRAIMfmtmT2V8Bw==Vj74PZQwKD0&advertising_id=80a89c16-3850-4340-a1a2-11644cc3cb42&android_id=&idfa=&af_prt=steptosalein614&is_retargeting=true&af_reengagement_window=30d&af_ip=152.58.178.87&af_lang=en-IN&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+13%3B+CPH2293+Build%2FTP1A.220905.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F135.0.7049.38+Mobile+Safari%2F537.36&expires=1753547057&signature_v2=FtXCb1HwUz7nzbmS2TWrtSLntTLdUjE6C324gDfFRBo&redirect=false&af_os_version=13&af_model=CPH2293,,,organic,2025-07-24 11:20:01,click_flood,click_flood
click,2025-07-18 10:41:12,2025-07-22 12:58:15,2025-07-22 13:36:50,sse_goa_Any_FX_CardOrdered,"""""",,USD,,,0.0,,S2S,steptosalein614,mobcpi6q_int,,ClickOrbits,1107170,,VlNIentGYjRUBlY9HHp-RmV4BAECB051LkZrLAcAVgNJfjY4HDQLRgsOVgbxMJqRHe3,,,,d74770a2ee68d79db31a13,AS,IN,AS,Kalaburagi,585101,None,,,,,1753169288120-907360295765342165,,,a531f54c47e70839,,,,unknown_device_category,android,,,,finance.global.travel.niyo,,false,,true,7d,,id_matching,,N/A,https://app.appsflyer.com/finance.global.travel.niyo?pid=mobcpi6q_int&af_siteid=d74770a2ee68d79db31a13&c=ClickOrbits&af_c_id=1107170&af_adset_id=VlNIentGYjRUBlY9HHp-RmV4BAECB051LkZrLAcAVgNJfjY4HDQLRgsOVgbxMJqRHe3&af_click_lookback=7d&clickid=Uk58SFBldkFDRgFCLkNIY3RALRJTQnxGBDNzFBdAXBJ8SFAwckATR1cKekAEZXBGQlIBBT8URjwjGAASQAA-H1M-JBMTGAoTOR9VJigHF1IHGSZfWT0jGB4TAhkkBV03bwYRRFRHe1UFanBBR0NdQnlBAmpzQUdDUk56VX0cZUVWR1FSf0gaYHFHXEVKR3NFEDR2SEJPABN-Q1ZmJUVFE1BPLxABM3dEQxUFQHxDBDZxVR8XCgMqHUgbDw0CBAsSN0UNfHNBRFhXWHpJAA==VdvKq4RAqrv&advertising_id=88450b9d-e2e7-4c18-a9ab-7c1051186a07&android_id=&idfa=&af_prt=steptosalein614&is_retargeting=true&af_reengagement_window=30d&af_ip=49.206.3.184&af_lang=en-IN&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+15%3B+SM-E546B+Build%2FAP3A.240905.015.A2%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F138.0.7204.45+Mobile+Safari%2F537.36&expires=1753420272&signature_v2=_yXH2txtMPKYHDdfrdFjbwR-64yc3T_5M4A34xpBSNY&redirect=false&af_os_version=15&af_model=SM-E546B,,,organic,2025-07-24 11:20:00,click_flood,click_flood
